timestamp,image,ocr_vendor,ocr_amount,ocr_vat_amount,ocr_total_amount,ocr_currency,ocr_date,actual_vendor,actual_amount,actual_vat_amount,actual_total_amount,actual_currency,actual_date,notes
2026-09-18T10:57:38,assets/dubai/image (6).png,PASONS,,,4.00,AED,05/08/2026,PASONS,83.37,4.17,87.54,AED,05/08/2026,"Image has TWO receipts stacked (PASONS x2). Actual cols use receipt #1 (87.54 total, 5% VAT). Receipt #2: 49.52 excl VAT / 2.48 VAT / 52.00 total, date 04/08/2026. OCR total_amount (4.00) is wrong - picked a line-item price instead of TOTAL AMOUNT. amount/vat_amount not extracted at all."
2026-09-18T11:00:21,assets/dubai/image (1).png,BlueR,,,,,,,FIDA ALMADINA HYPERMARKET LLC,,,29.00,AED,03/08/2026,"Vendor misread as handwritten 'BlueR' scribble instead of printed vendor name. No VAT breakdown printed on receipt (only Total Qty + Bill Amount). OCR missed total_amount, date, currency entirely - text was very garbled (e.g. 'Aount:29.00', '86-Fe9-202%')."
2026-09-18T11:01:05,assets/dubai/image (2).png,lتدارةف9ا,,,,AED,,TUFFCO BUILDING MATERIALS TRADING LLC,20,1,21,AED,04/08/2026,"Handwritten invoice - OCR vendor is garbled Arabic company-name text instead of 'TUFFCO'. amount/vat_amount/total_amount/date all missed entirely (fields are handwritten numbers, not printed). Only currency (AED) correctly picked up from label text."
2026-09-18T11:01:38,assets/dubai/image (3).png,ww.S,,,,,,QAMAR AL MADINA SUPERMARKET LLC,46.84,2.34,49.18,AED,29/07/2026,"Vendor read as garbled logo text 'ww.S' instead of 'QAMAR AL MADINA SUPERMARKET LLC'. amount/vat_amount/total_amount/currency/date all missed - VAT breakdown line was OCR'd as '4t.84 / 2.34 49.18' (numbers present in raw text but not caught by regex due to missing 'VAT'/'Total' label spacing). Bill also shows a rounding adj: Bill Amount paid was 49.25 vs printed Total 49.18."
2026-09-18T11:02:59,assets/dubai/image (4).png,M.S,,,,,,QAMAR AL MADINA SUPERMARKET LLC,45.21,2.28,47.49,AED,05/08/2026,"Vendor read only the small logo initials 'M.S' instead of 'QAMAR AL MADINA SUPERMARKET LLC'. amount/vat_amount/total_amount/currency/date all missed - VAT breakdown OCR'd as '45.21 / 2.28 47.49' but regex missed it due to garbled 'VATN'/'T:ta' labels. Bill Amount paid was 47.50 vs printed Total 47.49 (rounding)."
2026-09-18T11:04:08,assets/dubai/image (5).png,amar Alhuda,,,,,,QAMAR ALHUDA ALJADEED GENERAL TRADING LLC,45.00,2.25,47.25,AED,illegible (handwritten/stamped),"Vendor partially correct - OCR got 'amar Alhuda' (dropped the Q and 'Aljadeed General Trading'). amount/vat_amount/total_amount/currency all present in raw text ('45.00 2.25 47.25' near 'UV RELAY' line and 'TOTAL INCL VAT 47.25') but not picked up by regex since labels are split across many OCR lines. Date field on the invoice itself is handwritten/stamped and illegible even visually."
2026-09-18T11:04:35,assets/dubai/enoc_test.jpg,فاتورة فريبية,,,,AED,,ENOC RETAIL LLC,5.71 (computed: 6.00-0.29),0.29,6.00,AED,8/18/2026,"Vendor OCR only caught the Arabic 'Tax Invoice' header text, not 'ENOC RETAIL LLC' (which is printed clearly right below it). amount/vat_amount/total_amount/date all present in clean raw text (TOTAL AED 6.00, VAT Amt AEDO.29, date 8/18/2026) but regex missed them - 'AED' prefix glued to numbers broke the number regex, and OCR'd letter O instead of digit 0 in 'AEDO.29'. Best clean single-item receipt of the batch; failure is purely a regex/parsing gap, not an OCR quality issue."
2026-09-18T11:28:00,assets/dubai/image (6).png,PASONS,,,4.00,AED,05/08/2026,PASONS,83.37,4.17,87.54,AED,05/08/2026,"Re-verified after rotating RUNPOD_API_KEY to new key - identical OCR output to first run (same known issue: total_amount picked line-item 4.00 instead of TOTAL AMOUNT 87.54; amount/vat_amount not extracted). Confirms new key works correctly and OCR results are stable/reproducible."
2026-09-18T11:44:27,assets/ksa/ksa1.png,الشارقة,,,,,,SHARJA (taxi/general transport invoice - Customer Invoise),45 (handwritten Fare),n/a (no VAT printed),45 (Total field left blank on receipt, = Fare),SAR (generic 'Riyal' label, ksa folder),22/06/2026 (approx, handwritten),"OCR only caught the Arabic vendor word (Sharjah) from the logo, missed 'SHARJA'/'Customer Invoise' printed text, and completely missed the handwritten fare (45), date, and notes ('KAFD 2.08 to Malaz'). This is mostly a blank pre-printed taxi receipt template with only a few handwritten fields filled in by hand - genuinely hard for OCR since most content is handwriting."
2026-09-18T11:45:08,assets/ksa/ksa2.png,شركة قمة الخليج المحدودة للأجرة العامة,,,,,,Qema Al-Khaleej Limited Co. For General Rent,n/a,n/a (no VAT printed),45,SAR,25/06/2026,"Vendor OCR actually got the Arabic company name fully correct this time (unusual win - short, clean printed Arabic header). But total_amount/currency/date all missed even though date '25/06/26' and total '45' are legible in raw text as '0386 Invice5/06/6' (date badly garbled) - total (45) wasn't even picked up by OCR into the text output at all. Same taxi/rental invoice template as ksa1, mostly handwritten."
2026-09-18T11:45:36,assets/ksa/ksa3.png,Shahad Tawik Company,,,,,,Shahad Tawik Company (Car Number 22 - taxi receipt),40,n/a (no VAT printed),40,SAR,29/06/2026,"Vendor extracted correctly - only clean English/printed field on this batch of taxi receipts so far. But Amount/Date/Currency all missed - handwritten '40' amount and '29-6-26' date weren't picked up by OCR into the text output at all (not even garbled - simply absent from raw text)."
2026-09-18T11:46:12,assets/ksa/ksa4.png,No.:C/58444,,,,,,n/a (generic taxi invoice template, no vendor name printed),55,n/a (no VAT printed),55 (Total field left blank, = Amount),SAR,30/06/2026,"No real vendor name on this receipt (just invoice number), so OCR 'vendor' of the invoice number is arguably reasonable. Amount (55), date (30/06/26) both handwritten and both missed by OCR entirely - not present in raw text at all."
2026-09-18T11:52:35,assets/ksa/ksa5.png,TAXIAL-AJME,,,,,,TAXI AL-AJME (Riyadh - AL-Shifa),50,n/a (no VAT printed),50,SAR,03/07 Hijri (approx - printed Hijri date, hard to read exactly),"Vendor correctly extracted (close match - 'TAXIAL-AJME' vs 'TAXI AL-AJME', just missing the space/hyphen). Amount (S.R. Total 50) and date not extracted even though invoice number '20367' and Hijri date fragment did appear in raw text ('B /NO. 20367', 'التاريخ٤ه'). Best vendor match in the KSA batch so far."
